Quantity Gyudon_Wage_except_Tokyo_Kanagawa_Chiba_Saitama
   2326 20140628
   2323 20140706
   2322 20140712
   2322 20140719
   2324 20140726
   2325 20140802
   2325 20140809
   2319 20140816
   2332 20140823
   2328 20140830
   2327 20140906
   2330 20140913
   2338 20140920
   2332 20140927
   2331 20141004
   2330 20141011
   2335 20141018
   2332 20141025
   2332 20141101
   2332 20141108
   2329 20141115
   2327 20141122
   2324 20141129
   2336 20141206
   2326 20141213
   2324 20141220
   2332 20141227
   2325 20150103
   2330 20150110
   2330 20150117
   2330 20150124
   2327 20150131
   2335 20150207
   2334 20150214
   2334 20150221
   2335 20150228
   2339 20150307
   2334 20150314
   2333 20150321
   2329 20150328
   2338 20150404
   2347 20150411
   2347 20150418
   2346 20150425
   2348 20150502
   2346 20150509
   2349 20150516
   2350 20150523
   2328 20150530
   2338 20150606
   2339 20150613
   2339 20150620
   2337 20150627
   2337 20150704
   2330 20150711
   2331 20150718
   2329 20150725
   2349 20150801
   2344 20150808
   2346 20150815
   2353 20150822
   2355 20150829
   2353 20150905
   2354 20150912
   2354 20150919
   2353 20150926
   2354 20151003
   2241 20151010
   2356 20151017
   2357 20151024
   2358 20151031
   2357 20151107
   2357 20151114
   2358 20151121
   2358 20151128
   2361 20151205
   2362 20151212
   2357 20151219
   2351 20151226
   2355 20160102
   2356 20160109
   2356 20160116
   2358 20160123
   2354 20160130
   2357 20160206
   2357 20160213
   2357 20160220
   2357 20160227
   2350 20160305
   2353 20160312
   2353 20160319
   2354 20160326
   2354 20160402
   2354 20160409
   2354 20160416
   2355 20160423
   2355 20160430
   2356 20160507
   2363 20160514
   2364 20160521
   2365 20160528
   2365 20160604
   2365 20160611
   2368 20160618
   2368 20160625
   2367 20160702
   2368 20160709
   2368 20160716
   2369 20160723
   2369 20160730
   2367 20160806
   2367 20160813
   2368 20160820
   2368 20160827
   2368 20160903
   2368 20160910
   2369 20160917
   2369 20160924
   2369 20161001
   2370 20161008
   2367 20161015
   2373 20161022
   2374 20161029
   2375 20161105
   2375 20161112
   2375 20161119
   2375 20161126
   2377 20161203
   2379 20161210
   2379 20161217
   2379 20161224
   2379 20161231
   2380 20170107
   2382 20170114
   2384 20170121
   2383 20170128
   2383 20170204
   2383 20170211
   2383 20170218
   2383 20170225
   2384 20170304
   2384 20170311
   2385 20170318
   2385 20170325
   2383 20170401
   2382 20170408
   2384 20170415
   2383 20170422
   2383 20170429
   2383 20170506
   2382 20170513
   2382 20170520
   2381 20170527
   2381 20170603
   2380 20170610
   2380 20170617
   2376 20170624
   2376 20170701
   2382 20170708
   2384 20170715
   2384 20170722
   2384 20170729
   2381 20170805
   2385 20170812
   2385 20170819
   2388 20170826
   2387 20170902
   2392 20170909
   2392 20170916
   2392 20170923
   2392 20170930
   2393 20171007
   2393 20171014
   2392 20171021
   2387 20171028
   2388 20171104
   2388 20171111
   2392 20171118
   2392 20171125
   2391 20171202
   2392 20171209
   2388 20171216
   2382 20171223
   2386 20171230
   2386 20180106
   2386 20180113
   2387 20180120
   2386 20180127
   2386 20180203
   2387 20180210
   2387 20180217
   2387 20180224
   2385 20180303
   2387 20180310
   2387 20180317
   2387 20180324
   2387 20180331
   2390 20180407
   2398 20180414
   2397 20180421
   2398 20180428
   2398 20180505
   2397 20180512
   2402 20180519
   2404 20180526
   2406 20180602
   2401 20180609
   2402 20180616
   2403 20180623
   2405 20180630
   2406 20180707
   2406 20180714
   2407 20180721
   2408 20180728
   2411 20180804
   2416 20180811
   2418 20180818
   2418 20180825
   2417 20180901
   2343 20180908
   2366 20180915
