[牛丼短観][牛丼週報][時給観測]牛丼チェーン店アルバイト時給観測(牛丼短観) 20250927
20250927 現在、吉野家・松屋・すき家のアルバイト募集状況(日中、各店舗下限値。高校生時給・研修時給除く)は以下のとおりです。
|*Storetype|*求人中店舗数[件]|*上昇件数[件]|*下落件数[件]|*上昇-下落[件]|*新規件数[件]|*停止件数[件]|*新規-停止[件]|
|*吉野家| 1273 | 0 | 0 | 0 | 2 | 0 | 2 |
|*松屋| 1373 | 426 | 2 | 424 | 1 | 0 | 1 |
|*すき家| 1988 | 0 | 0 | 0 | 0 | 1 | -1 |
|*合計| 4634 | 426 | 2 | 424 | 3 | 1 | 2 |
<hr>
20250927 において、前回集計時( 20250920 )以降、日中求人時給が上昇した店舗は下記 426 件です。
|*Storetype|*都道府県|*上昇店舗名|* 20250927 時給[円]|* 20250920 時給[円]|*対先週差[円]
|松屋|愛知県|松のや 瀬戸店|1200|1100|100|
|松屋|愛知県|松のや 長久手店|1200|1100|100|
|松屋|愛知県|松のや 半田店|1200|1100|100|
|松屋|愛知県|松のや 名駅西口店|1250|1200|50|
|松屋|愛知県|松屋 小牧店|1140|1120|20|
|松屋|愛知県|松屋 豊山店|1140|1120|20|
|松屋|京都府|松屋 亀岡店|1200|1100|100|
|松屋|京都府|松屋 京都久御山店|1200|1100|100|
|松屋|京都府|松屋 桂店|1200|1100|100|
|松屋|京都府|松屋 山科店|1200|1058|142|
|松屋|京都府|松屋 六地蔵店|1200|1100|100|
|松屋|群馬県|松屋 太田飯塚町店|1150|1100|50|
|松屋|埼玉県|松屋 ふじみ野駅前店|1170|1150|20|
|松屋|埼玉県|松屋 ふじみ野店|1170|1150|20|
|松屋|埼玉県|松屋 みずほ台店|1170|1150|20|
|松屋|埼玉県|松屋 高坂店|1180|1100|80|
|松屋|埼玉県|松屋 坂戸にっさい店/松のや 坂戸にっさい店|1180|1150|30|
|松屋|埼玉県|松屋 坂戸店|1180|1100|80|
|松屋|埼玉県|松屋 三郷下彦川戸店/松のや 三郷下彦川戸店|1250|1200|50|
|松屋|埼玉県|松屋 志木店|1200|1150|50|
|松屋|埼玉県|松屋 志木東口店|1200|1150|50|
|松屋|埼玉県|松屋 春日部豊町店/松のや 春日部豊町店|1250|1200|50|
|松屋|埼玉県|松屋 上福岡店|1170|1150|20|
|松屋|埼玉県|松屋 鶴瀬店|1170|1150|20|
|松屋|埼玉県|松屋 東松山上野本店/松のや 東松山上野本店|1180|1150|30|
|松屋|埼玉県|松屋 東松山店|1180|1100|80|
|松屋|滋賀県|松のや 草津木川町店/マイカリー食堂 草津木川町店|1150|1100|50|
|松屋|滋賀県|松屋 栗東市役所前店/松のや 栗東市役所前店|1150|1100|50|
|松屋|滋賀県|松屋 栗東霊仙寺店/松のや 栗東霊仙寺店|1150|1100|50|
|松屋|滋賀県|松屋 草津駅西口店/松のや 草津駅西口店|1150|1100|50|
|松屋|滋賀県|松屋 大津店|1150|1100|50|
|松屋|滋賀県|松屋 南草津店|1150|1100|50|
|松屋|滋賀県|松屋 彦根店|1080|1050|30|
|松屋|秋田県|松屋 花輪SA（下り線）店|1050|980|70|
|松屋|秋田県|松屋 花輪SA（上り線）店|1050|980|70|
|松屋|新潟県|松屋 上越高田店/松のや 上越高田店|1150|1100|50|
|松屋|新潟県|松屋 長岡堺東町店|1150|1100|50|
|松屋|神奈川|すし松 本厚木店|1250|1200|50|
|松屋|神奈川|ステーキ屋松 新杉田店|1225|1200|25|
|松屋|神奈川|ステーキ定食松牛 上大岡店|1225|1200|25|
|松屋|神奈川|松のや 伊勢佐木町店/マイカリー食堂 伊勢佐木町店|1230|1200|30|
|松屋|神奈川|松のや 下永谷店|1230|1200|30|
|松屋|神奈川|松のや 茅ヶ崎店/マイカリー食堂 茅ヶ崎店|1230|1200|30|
|松屋|神奈川|松のや 橋本店/マイカリー食堂 橋本店|1230|1200|30|
|松屋|神奈川|松のや 戸塚店|1230|1200|30|
|松屋|神奈川|松のや 阪東橋店/マイカリー食堂 阪東橋店|1230|1200|30|
|松屋|神奈川|松のや 鷺沼店/マイカリー食堂 鷺沼店|1230|1200|30|
|松屋|神奈川|松のや 湘南台店/マイカリー食堂 湘南台店|1250|1200|50|
|松屋|神奈川|松のや 上大岡西店/マイカリー食堂 上大岡西店|1230|1200|30|
|松屋|神奈川|松のや 杉田店/マイカリー食堂 杉田店|1230|1200|30|
|松屋|神奈川|松のや 相武台前店|1230|1170|60|
|松屋|神奈川|松のや 相模原店/マイカリー食堂 相模原店|1230|1200|30|
|松屋|神奈川|松のや 相模原陽光台店|1230|1170|60|
|松屋|神奈川|松のや 相模大野店|1230|1200|30|
|松屋|神奈川|松のや 大和店/マイカリー食堂 大和店|1250|1200|50|
|松屋|神奈川|松のや 天王町店|1230|1200|30|
|松屋|神奈川|松のや 武蔵新城店|1230|1200|30|
|松屋|神奈川|松のや 平塚店/マイカリー食堂 平塚店|1230|1200|30|
|松屋|神奈川|松のや 本厚木店/マイカリー食堂 本厚木店|1250|1200|50|
|松屋|神奈川|松のや 野毛店/マイカリー食堂 野毛店|1230|1200|30|
