吉野家,千葉県,吉野家 鎌ヶ谷店,千葉県鎌ケ谷市道野辺本町1丁目2‐3,1150,20240713
松屋,大阪府,松屋 そよら古川橋駅前店/松のや そよら古川橋駅前店,大阪府門真市末広町41-2,1100,20240713
松屋,大阪府,松屋 萱島店,大阪府門真市上島町46-7,1100,20240713
松屋,大阪府,松屋 香里園駅前店,大阪府寝屋川市香里南之町20-20,1080,20240713
松屋,大阪府,松屋 守口佐太中町店/松のや 守口佐太中町店,大阪府守口市佐太中町6丁目135、137（地番）,1100,20240713
松屋,大阪府,松屋 守口市駅前店,大阪府守口市桜町9-8,1080,20240713
松屋,大阪府,松屋 寝屋川店,大阪府寝屋川市高宮栄町10-2,1080,20240713
松屋,大阪府,松屋 千林大宮店,大阪府大阪市旭区森小路2-6-1,1080,20240713
松屋,大阪府,松屋 鳥飼店,大阪府摂津市鳥飼本町3-16-59,1100,20240713
松屋,大阪府,松屋 都島毛馬店,大阪府大阪市都島区毛馬町1-7-13,1080,20240713
松屋,大阪府,松屋 忍ヶ丘駅前店/松のや 忍ヶ丘駅前店,大阪府四條畷市岡山東1丁目-2-15,1100,20240713
松屋,大阪府,松屋 枚方店,大阪府枚方市岡東町5-24,1100,20240713
松屋,大阪府,松屋 門真店/マイカリー食堂 門真店,大阪府門真市下島町30-13,1080,20240713
松屋,大阪府,松屋 野崎店/松のや 野崎店,大阪府大東市明美津の辺町21-40,1100,20240713
すき家,岐阜県,すき家 19号中津川IC店,岐阜県中津川市千旦林204-2,1120,20240713
すき家,神奈川,すき家 鶴見中央店,神奈川県横浜市鶴見区鶴見中央4-32-16,1350,20240713
