吉野家,徳島県,吉野家 藍住町店,徳島県板野郡藍住町東中富北傍示28‐1,1200,20240210,1000,200
松屋,茨城県,松のや つくば東大通り店,茨城県つくば市天久保4-6-8,1050,20240210,1000,50
松屋,茨城県,松屋 つくば西大通り店/マイカリー食堂 つくば西大通り店,茨城県つくば市春日4-1-5,1050,20240210,1000,50
松屋,茨城県,松屋 つくば東大通店,茨城県つくば市妻木1768-1,1050,20240210,1000,50
松屋,東京都,松屋 綾瀬店,東京都足立区綾瀬3-2-8,1200,20240210,1150,50
松屋,千葉県,松屋 鎌ヶ谷店,千葉県鎌ケ谷市東初富4-2-83,1100,20240210,1050,50
松屋,茨城県,松屋 牛久店,茨城県牛久市田宮町41-1,1050,20240210,1000,50
松屋,千葉県,松屋 行徳店,千葉県市川市行徳駅前2-3,1200,20240210,1150,50
松屋,千葉県,松屋 行徳南店,千葉県市川市行徳駅前2-8-6,1200,20240210,1150,50
松屋,茨城県,松屋 取手店,茨城県取手市取手3-1-2 取手プラザ1F,1050,20240210,1000,50
松屋,千葉県,松屋 初石店,千葉県流山市西初石3-100-19 森田ビル1F,1150,20240210,1100,50
松屋,千葉県,松屋 松戸七畝割店,千葉県松戸市松戸2303-16,1200,20240210,1100,100
松屋,千葉県,松屋 松戸松飛台店,千葉県松戸市松飛台259-5,1100,20240210,1050,50
松屋,千葉県,松屋 松戸店,千葉県松戸市本町1-18 第37東京ビル,1200,20240210,1100,100
松屋,千葉県,松屋 新松戸西口店,千葉県松戸市新松戸2-21-103,1200,20240210,1100,100
松屋,千葉県,松屋 新柏店/松のや 新柏店,千葉県柏市新柏4-12-7,1200,20240210,1100,100
松屋,千葉県,松屋 船橋南口店,千葉県船橋市本町1-3-1 フェイスビル1F-0108,1250,20240210,1200,50
松屋,千葉県,松屋 馬橋店,千葉県松戸市馬橋117-1田口ビル,1200,20240210,1100,100
松屋,千葉県,松屋 柏中央町店,千葉県柏市中央町2番8号 柏大黒ビル,1200,20240210,1100,100
松屋,千葉県,松屋 北小金店,千葉県松戸市小金きよしヶ丘3-20-5,1150,20240210,1100,50
松屋,神奈川,松屋 本厚木店,神奈川県厚木市中町2-4-16 トキワヤビル1F,1200,20240210,1150,50
松屋,千葉県,松屋 野田店/松のや 野田店,千葉県野田市宮崎130-4,1150,20240210,1100,50
