Date Min 1stQ Median 3rdQ Max mean
20140628 664 850 900 950 1300 910.953
20140706 664 850 900 950 1300 911.19
20140712 664 850 900 950 1300 911.427
20140719 664 850 900 950 1300 911.666
20140726 664 850 900 950 1300 911.241
20140802 664 850 900 950 1300 911.332
20140809 664 850 900 950 1300 911.772
20140816 664 850 900 950 1300 913.659
20140823 664 850 900 950 1300 911.896
20140830 664 850 900 950 1300 911.949
20140906 664 850 900 950 1300 913.49
20140913 664 850 900 950 1300 912.548
20140920 664 850 900 950 1300 913.805
20140927 664 850 900 950 1300 912.428
20141004 664 850 900 950 1300 913.257
20141011 664 850 900 950 1300 913.575
20141018 664 850 900 950 1300 912.631
20141025 664 850 900 950 1300 913.865
20141101 664 850 900 950 1300 915.529
20141108 664 850 900 950 1300 915.583
20141115 664 850 900 950 1300 915.636
20141122 664 850 900 950 1300 915.703
20141129 664 850 900 950 1300 915.74
20141206 664 860 900 950 1300 917.546
20141213 664 850 900 950 1300 916.073
20141220 664 850 900 950 1300 915.716
20141227 664 860 900 950 1300 917.6
20150103 664 850 900 950 1300 915.677
20150110 664 850 900 950 1300 915.785
20150117 664 850 900 950 1300 915.81
20150124 664 850 900 950 1300 915.427
20150131 664 850 900 950 1300 916.135
20150207 664 850 900 950 1300 915.913
20150214 664 850 900 950 1300 916.009
20150221 664 850 900 950 1300 916.021
20150228 664 850 900 950 1300 916.301
20150307 700 870 900 950 1300 917.524
20150314 700 870 900 950 1300 918.698
20150321 700 870 900 950 1300 918.839
20150328 700 870 900 950 1300 918.122
20150404 700 870 900 950 1300 921.136
20150411 700 870 900 950 1300 921.021
20150418 700 870 900 950 1300 921.482
20150425 700 870 900 950 1300 922.192
20150502 700 870 900 950 1300 922.29
20150509 700 870 900 960 1300 923.586
20150516 700 880 910 960 1300 925.18
20150523 700 880 910 970 1300 925.039
20150530 700 870 900 960 1300 924.112
20150606 700 870 900 950 1300 921.164
20150613 700 870 910 970 1300 924.716
20150620 700 870 900 970 1300 924.623
20150627 700 870 910 970 1300 924.802
20150704 700 880 910 970 1300 925.469
20150711 700 870 910 970 1300 924.637
20150718 700 870 910 970 1300 924.985
20150725 700 870 910 960 1300 924.92
20150801 700 870 910 960 1300 925.023
20150808 700 870 910 960 1300 924.829
20150815 700 870 910 960 1300 924.987
20150822 700 880 910 970 1300 925.315
20150829 700 880 910 960 1300 924.903
20150905 700 880 910 970 1300 927.138
20150912 700 880 910 970 1300 926.481
20150919 700 880 920 970 1300 927.088
20150926 700 880 920 970 1300 927.374
20151003 700 880 920 970 1300 928.064
20151010 700 880 920 980 1300 930.344
20151017 700 880 920 970 1300 928.164
20151024 740 880 920 980 1300 928.937
20151031 740 880 920 980 1300 929.207
20151107 740 880 920 980 1300 929.36
20151114 740 880 920 980 1300 929.919
20151121 740 880 920 980 1300 930.022
20151128 740 880 920 980 1300 930.158
20151205 740 880 920 980 1300 930.501
20151212 740 880 920 980 1300 930.085
20151219 740 880 920 980 1300 930.142
20151226 740 880 920 980 1300 930.957
20160102 740 880 920 980 1300 930.172
20160109 740 880 920 980 1300 930.763
20160116 740 880 920 980 1300 930.808
20160123 740 880 920 980 1300 930.783
20160130 740 880 920 980 1300 931.657
20160206 740 885 920 980 1300 932.474
20160213 740 885 920 980 1300 932.454
20160220 740 885 920 980 1300 932.479
20160227 740 900 920 980 1300 933.234
20160305 740 900 930 1000 1300 936.97
20160312 740 900 930 1000 1300 937.471
20160319 740 900 930 1000 1300 937.453
20160326 740 900 930 1000 1300 937.47
20160402 740 900 930 1000 1300 937.707
20160409 740 900 930 1000 1300 938.115
20160416 740 900 930 1000 1300 938.145
20160423 740 900 930 1000 1300 938.293
20160430 740 900 930 1000 1300 938.293
20160507 740 900 930 1000 1300 938.801
20160514 740 900 930 1000 1300 938.852
20160521 740 900 930 1000 1300 939.059
20160528 740 900 930 1000 1300 939.128
20160604 740 900 950 1000 1300 939.576
20160611 740 900 950 1000 1300 939.586
20160618 740 900 950 1000 1300 939.62
20160625 740 900 950 1000 1300 939.605
20160702 740 900 950 1000 1300 939.625
20160709 740 900 950 1000 1300 939.588
20160716 740 900 950 1000 1300 939.627
20160723 740 900 950 1000 1300 939.698
20160730 740 900 950 1000 1300 939.706
20160806 740 900 945 1000 1300 939.615
20160813 740 900 940 1000 1300 939.711
20160820 740 900 940 1000 1300 939.578
20160827 740 900 940 1000 1300 939.647
20160903 740 900 950 1000 1300 940.045
20160910 740 900 940 1000 1300 939.959
20160917 740 900 940 1000 1300 939.954
20160924 740 900 940 1000 1300 940.099
20161001 740 900 950 1000 1300 941.286
20161008 740 900 950 1000 1300 941.305
20161015 740 900 950 1000 1300 941.57
20161022 740 900 950 1000 1300 941.657
20161029 740 900 950 1000 1300 941.81
20161105 740 900 950 1000 1300 943.742
20161112 740 900 950 1000 1300 943.908
20161119 740 900 950 1000 1300 943.908
20161126 740 900 950 1000 1300 943.995
20161203 740 900 950 1000 1300 944.367
20161210 740 900 950 1000 1300 944.212
20161217 740 900 950 1000 1300 944.212
20161224 740 900 950 1000 1300 944.264
20161231 740 900 950 1000 1300 944.315
20170107 740 900 950 1000 1300 944.795
20170114 740 900 950 1000 1300 944.813
20170121 740 900 950 1000 1300 944.778
20170128 740 900 950 1000 1300 944.728
20170204 740 900 950 1000 1300 944.534
20170211 740 900 950 1000 1300 945.293
20170218 740 900 950 1000 1300 945.232
20170225 740 900 950 1000 1300 945.749
20170304 740 900 950 1000 1300 946.79
20170311 740 900 950 1000 1300 947.535
20170318 740 900 950 1000 1300 947.583
20170325 740 900 950 1000 1300 947.781
20170401 740 900 950 1000 1300 949.247
20170408 740 900 950 1000 1300 949.259
20170415 740 900 950 1000 1300 949.357
20170422 745 900 950 1000 1300 949.856
20170429 745 900 950 1000 1300 950.954
20170506 745 900 950 1000 1300 950.954
20170513 745 900 950 1000 1300 950.898
20170520 745 900 950 1000 1300 951.074
20170527 745 900 950 1000 1300 952.803
20170603 745 900 950 1000 1300 952.853
20170610 745 900 950 1000 1300 952.751
20170617 745 900 950 1000 1300 952.837
20170624 745 900 950 1000 1300 952.842
20170701 745 900 950 1000 1300 952.94
20170708 745 900 950 1000 1300 953.845
20170715 745 900 950 1000 1300 953.836
20170722 745 900 950 1000 1300 953.873
20170729 745 900 950 1000 1300 953.904
20170805 745 900 950 1000 1300 954.397
20170812 745 900 950 1000 1300 954.542
20170819 745 900 950 1000 1300 954.478
