Quantity Gyudon_Wage
   3974 20140628
   3972 20140706
   3970 20140712
   3969 20140719
   3957 20140726
   3959 20140802
   3954 20140809
   3952 20140816
   3957 20140823
   3957 20140830
   3960 20140906
   3961 20140913
   3963 20140920
   3963 20140927
   3977 20141004
   3975 20141011
   3979 20141018
   3980 20141025
   3981 20141101
   3980 20141108
   3978 20141115
   3975 20141122
   3972 20141129
   3975 20141206
   3973 20141213
   3973 20141220
   3974 20141227
   3974 20150103
   3981 20150110
   3981 20150117
   3980 20150124
   3975 20150131
   3983 20150207
   3981 20150214
   3981 20150221
   3977 20150228
   3976 20150307
   3976 20150314
   3978 20150321
   3978 20150328
   4059 20150404
   4060 20150411
   4057 20150418
   4055 20150425
   4057 20150502
   4058 20150509
   4055 20150516
   4055 20150523
   4032 20150530
   4043 20150606
   4045 20150613
   4029 20150620
   4027 20150627
   4027 20150704
   4020 20150711
   4021 20150718
   4019 20150725
   4034 20150801
   4036 20150808
   4039 20150815
   4040 20150822
   4047 20150829
   4058 20150905
   4058 20150912
   4057 20150919
   4056 20150926
   4058 20151003
   3933 20151010
   4062 20151017
   4064 20151024
   4065 20151031
   4067 20151107
   4065 20151114
   4065 20151121
   4065 20151128
   4063 20151205
   4064 20151212
   4058 20151219
   4056 20151226
   4056 20160102
   4057 20160109
   4056 20160116
   4058 20160123
   4054 20160130
   4057 20160206
   4057 20160213
   4057 20160220
   4059 20160227
   4053 20160305
   4056 20160312
   4055 20160319
   4055 20160326
   4056 20160402
   4056 20160409
   4057 20160416
   4058 20160423
   4058 20160430
   4059 20160507
   4067 20160514
   4067 20160521
   4069 20160528
   4069 20160604
   4071 20160611
   4074 20160618
   4073 20160625
   4073 20160702
   4074 20160709
   4075 20160716
   4072 20160723
   4075 20160730
   4072 20160806
   4073 20160813
   4074 20160820
   4075 20160827
   4073 20160903
   4073 20160910
   4074 20160917
   4074 20160924
   4075 20161001
   4077 20161008
   4072 20161015
   4080 20161022
   4085 20161029
   4090 20161105
   4090 20161112
   4090 20161119
   4091 20161126
   4096 20161203
   4099 20161210
   4099 20161217
   4099 20161224
   4099 20161231
   4100 20170107
   4101 20170114
   4104 20170121
   4101 20170128
   4100 20170204
   4103 20170211
   4103 20170218
   4103 20170225
   4105 20170304
   4104 20170311
